[BUDGET_LIMITS]
Food|2000.0
Transportation|0.0
Entertainment|10.0
Bills|0.0
Other|0.0
[TRANSACTIONS]
Income|N/A|sal|1000.0|2026-02-24 16:43
Expense|Food|hi|20.0|2026-02-24 16:44
Income|N/A|job|100.0|2026-02-24 16:49
Expense|Food|eat|10.0|2026-02-24 16:50
Income|N/A|job|100.0|2026-02-24 17:14
Income|N/A|job|100.0|2026-02-24 17:17
Expense|Food|shopping|10.0|2026-02-24 17:21
Expense|Food|test|900.0|2026-02-24 17:39
Income|N/A|paycheck|70.0|2026-02-24 21:08
Expense|Food|groceries|5.0|2026-02-24 21:09
Expense|Food|test|80.0|2026-02-24 21:11
Income|N/A|hiio|20.0|2026-02-25 07:00
Expense|Food|ya|10.0|2026-02-25 07:30
Expense|Food|eat|20.0|2026-02-25 07:31
Income|N/A|salary|50.0|2026-02-25 08:32
Expense|Food|groceries|25.0|2026-02-25 08:38
